,ITUB4.SA,PETR4.SA,SANB11.SA,BBAS3.SA,BBDC4.SA,^BVSP,BRL=X
2011-05-27 00:00:00,9.274091720581055,7.705779552459717,7.681151866912842,11.992051124572754,6.247208595275879,64218.0,1.5920000076293945
2011-06-03 00:00:00,9.105974197387695,7.625339984893799,7.536227703094482,12.053324699401855,6.242048263549805,63469.0,1.5815000534057617
2011-06-10 00:00:00,9.178617477416992,7.493427753448486,7.720252990722656,11.838871002197266,6.189115047454834,60881.0,1.597000002861023
2011-06-17 00:00:00,9.131916999816895,7.483772277832031,7.672051429748535,11.93077278137207,6.2400126457214355,61194.0,1.5870000123977661
2011-06-24 00:00:00,9.45620059967041,7.631775856018066,8.087328910827637,12.374709129333496,6.453779697418213,62404.0,1.569700002670288
2011-07-01 00:00:00,9.196776390075684,7.602818965911865,7.729364395141602,12.065340042114258,6.40818977355957,62207.0,1.569200038909912
2011-07-08 00:00:00,8.249977111816406,7.384034156799316,6.9825029373168945,11.481962203979492,5.98507833480835,59679.0,1.5677000284194946
2011-07-15 00:00:00,8.517278671264648,7.400120258331299,6.916213035583496,11.853205680847168,6.052676677703857,60263.0,1.5614999532699585
2011-07-22 00:00:00,8.057938575744629,7.560991287231445,6.407993316650391,11.3803129196167,6.0117082595825195,58708.0,1.563099980354309
2011-07-29 00:00:00,7.2793989181518555,7.560991287231445,6.142834186553955,10.60689926147461,5.59181547164917,52811.0,1.562999963760376
2011-08-05 00:00:00,7.082268714904785,7.6282830238342285,6.098641872406006,10.726217269897461,5.533065319061279,53343.0,1.621899962425232
2011-08-12 00:00:00,7.25805139541626,6.589537143707275,6.390316486358643,11.137236595153809,5.512571334838867,53134.0,1.5785000324249268
2011-08-19 00:00:00,6.972238063812256,6.44671106338501,6.301931858062744,11.309598922729492,5.451094627380371,52953.0,1.607300043106079
2011-08-26 00:00:00,8.076159477233887,6.829750061035156,7.070888996124268,12.635729789733887,6.194984436035156,58118.0,1.5824999809265137
2011-09-02 00:00:00,7.783088684082031,6.706398963928223,7.000180721282959,12.354936599731445,6.055633068084717,57624.0,1.653499960899353
2011-09-09 00:00:00,7.541757106781006,6.670690059661865,6.779215335845947,11.677465438842773,5.896862030029297,56381.0,1.7239999771118164
2011-09-16 00:00:00,7.279435634613037,6.32985258102417,6.385897636413574,10.763771057128906,5.691821575164795,53280.0,1.833899974822998
2011-09-23 00:00:00,7.686033248901367,6.297389984130859,6.385897636413574,11.21791934967041,5.777939796447754,53385.0,1.8177000284194946
2011-09-30 00:00:00,7.699150562286377,6.118856906890869,5.8870978355407715,10.681583404541016,5.656965732574463,52290.0,1.8336999416351318
2011-10-07 00:00:00,8.14846134185791,6.2941460609436035,6.229992866516113,10.613982200622559,5.939335823059082,54601.0,1.7740000486373901
2011-10-14 00:00:00,8.292799949645996,6.109121322631836,6.457104682922363,10.726655006408691,5.990623474121094,54010.0,1.761299967765808
2011-10-21 00:00:00,8.644457817077637,6.25519323348999,6.871248245239258,11.213415145874023,6.267591953277588,59270.0,1.7580000162124634
2011-10-28 00:00:00,8.528985023498535,7.115403652191162,6.768826484680176,11.375662803649902,6.349655628204346,58196.0,1.733299970626831
2011-11-04 00:00:00,8.329964637756348,6.96608304977417,6.550621032714844,11.141295433044434,6.301639080047607,57322.0,1.756600022315979
2011-11-11 00:00:00,8.117324829101562,6.985560417175293,6.056318283081055,11.172846794128418,6.157955169677734,56989.0,1.770300030708313
2011-11-18 00:00:00,7.7917938232421875,7.098903179168701,5.72678279876709,10.49228286743164,5.767951488494873,55280.0,1.8593000173568726
2011-11-25 00:00:00,8.702765464782715,7.3773579597473145,6.452651500701904,11.424661636352539,6.29342794418335,58143.0,1.8079999685287476
2011-12-02 00:00:00,8.884615898132324,7.3773579597473145,6.5105414390563965,10.727045059204102,6.363221168518066,57455.0,1.798699975013733
2011-12-09 00:00:00,8.666643142700195,7.046490669250488,6.394759654998779,10.441656112670898,6.085182189941406,56331.0,1.8762999773025513
2011-12-16 00:00:00,9.034319877624512,7.256147384643555,6.710935592651367,10.790467262268066,6.4984331130981445,57348.0,1.855299949645996
2011-12-23 00:00:00,8.926640510559082,7.039938926696777,6.758898735046387,10.86622142791748,6.446026802062988,56754.0,1.8767000436782837
2011-12-30 00:00:00,9.17922592163086,7.3085618019104,6.8357038497924805,10.91665267944336,6.542449951171875,58546.0,1.8184000253677368
2012-01-06 00:00:00,9.465941429138184,7.6230058670043945,7.133887767791748,11.21467399597168,6.665408611297607,59921.0,1.8035000562667847
2012-01-13 00:00:00,9.789151191711426,7.99622917175293,7.3778605461120605,11.829050064086914,6.7430100440979,61927.0,1.7683000564575195
2012-01-20 00:00:00,9.616954803466797,8.230732917785645,7.540508270263672,12.186677932739258,6.8604631423950195,62953.0,1.7599999904632568
2012-01-27 00:00:00,9.457993507385254,8.101921081542969,7.66701078414917,12.562636375427246,6.58361291885376,64593.0,1.7316999435424805
2012-02-03 00:00:00,9.792499542236328,8.4222993850708,7.983267784118652,12.282958984375,6.6100592613220215,65530.0,1.718400001525879
2012-02-10 00:00:00,9.67059326171875,7.887235641479492,8.349226951599121,13.186184883117676,6.4841532707214355,66142.0,1.7276999950408936
2012-02-17 00:00:00,9.567232131958008,7.90044641494751,8.182061195373535,12.72310733795166,6.371004104614258,65820.0,1.7051000595092773
2012-02-24 00:00:00,9.858752250671387,8.217521667480469,8.51639461517334,12.94239330291748,6.642062664031982,66810.0,1.716599941253662
2012-03-02 00:00:00,10.13778305053711,7.956595420837402,8.498320579528809,13.200589179992676,6.724014759063721,66908.0,1.7657999992370605
2012-03-09 00:00:00,10.312010765075684,7.999532699584961,8.394404411315918,13.186758041381836,6.9418511390686035,67749.0,1.8034000396728516
2012-03-16 00:00:00,9.824159622192383,7.963197708129883,8.064595222473145,12.559707641601562,6.811509609222412,65828.0,1.819200038909912
2012-03-23 00:00:00,9.550738334655762,7.741826057434082,7.689598560333252,12.153953552246094,6.737929821014404,64872.0,1.8234000205993652
2012-03-30 00:00:00,8.84576416015625,7.303608417510986,7.204474925994873,11.246842384338379,6.454116344451904,63691.0,1.8274999856948853
2012-04-06 00:00:00,8.838838577270508,7.306929588317871,7.504282474517822,11.736241340637207,6.5859832763671875,63058.0,1.8345999717712402
